sx,sy,sz,x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.88,-0.03,-1,0.909257,0.0121188,-0.0164861,3,1.2107,-1.647,-0.0877696,-0.126356,-1.96703,9.5713,19.6287,5266.08
0.88,-0.03,-1,0.90932,0.0121463,-0.0165028,0.00631788,0.00274956,-0.00166972,-0.0879593,-0.126439,-1.96699,-0.543817,-3.27133,3361.01
0.88,-0.03,-1,0.90942,0.0121409,-0.0164933,0.00997999,-0.000545409,0.000956093,-0.088259,-0.126423,-1.96701,0.993726,0.786757,3623.95
0.88,-0.03,-1,0.90925,0.0120763,-0.0164841,-0.016941,-0.00644907,0.000911247,-0.0877503,-0.126229,-1.96703,0.942276,0.530489,3623.18
0.88,-0.03,-1,0.909291,0.0120935,-0.0165138,0.00404916,0.00171531,-0.00296802,-0.0878718,-0.12628,-1.96697,1.02478,0.758252,3626.25
0.88,-0.03,-1,0.909253,0.0120788,-0.0164654,-0.00373952,-0.00146959,0.00483518,-0.0877596,-0.126236,-1.96707,0.987512,0.661047,3616.87
0.88,-0.03,-1,0.909275,0.0120621,-0.0165088,0.00216154,-0.00166842,-0.00433461,-0.0878245,-0.126186,-1.96698,0.987,0.724138,3626.17
0.88,-0.03,-1,0.909367,0.0120964,-0.0165508,0.00920589,0.00343202,-0.00418798,-0.0881009,-0.126289,-1.9669,1.03595,0.784361,3623.7
0.88,-0.03,-1,0.909412,0.0121182,-0.0164616,0.00446599,0.00217214,0.00890406,-0.088235,-0.126355,-1.96708,1.0225,0.735839,3609.86
0.88,-0.03,-1,0.909303,0.0120832,-0.0164803,-0.0108672,-0.0034965,-0.00186883,-0.0879087,-0.12625,-1.96704,0.967915,0.595783,3621.34
0.88,-0.03,-1,0.909507,0.012117,-0.0164646,0.0204066,0.00337926,0.00156998,-0.0885215,-0.126351,-1.96707,1.04127,0.909765,3615.56
0.88,-0.03,-1,0.909263,0.0120653,-0.0165115,-0.0243426,-0.00516873,-0.00468389,-0.0877905,-0.126196,-1.96698,0.951037,0.45088,3620.83
0.88,-0.03,-1,0.909364,0.0120473,-0.016443,0.0100336,-0.00179412,0.00684859,-0.0880918,-0.126142,-1.96711,0.996445,0.82974,3607.85
0.88,-0.03,-1,0.90938,0.012077,-0.0164154,0.00157203,0.00296746,0.00275458,-0.088139,-0.126231,-1.96717,1.0357,0.707429,3612.63
0.88,-0.03,-1,0.909407,0.0120724,-0.0164541,0.00276296,-0.000462137,-0.00386754,-0.088222,-0.126217,-1.96709,0.996749,0.728997,3617.42
0.88,-0.03,-1,0.909362,0.0120774,-0.0164442,-0.00449576,0.000498981,0.000991821,-0.088087,-0.126232,-1.96711,1.01216,0.660849,3610.59
0.88,-0.03,-1,0.909377,0.0120637,-0.0163936,0.0014708,-0.00136985,0.00504936,-0.0881311,-0.126191,-1.96721,0.994715,0.726525,3606.42
0.88,-0.03,-1,0.909482,0.012125,-0.0164551,0.010498,0.00612315,-0.00614297,-0.0884464,-0.126375,-1.96709,1.06497,0.802712,3617.19
0.88,-0.03,-1,0.90934,0.0121054,-0.0164215,-0.0141542,-0.00195675,0.00335507,-0.0880213,-0.126316,-1.96716,0.983912,0.562587,3604.83
0.88,-0.03,-1,0.909191,0.0120609,-0.0164175,-0.0148807,-0.00444217,0.000398962,-0.0875745,-0.126183,-1.96716,0.969384,0.58319,3608.27
0.88,-0.03,-1,0.909176,0.0120309,-0.0163651,-0.00151248,-0.002999,0.00524121,-0.0875291,-0.126093,-1.96727,0.987097,0.708701,3602.13
0.88,-0.03,-1,0.909304,0.0120866,-0.016415,0.012737,0.00556676,-0.00498367,-0.0879115,-0.12626,-1.96717,1.06328,0.824592,3612.11
0.88,-0.03,-1,0.909265,0.0120812,-0.0164236,-0.00400391,-0.000559139,-0.000888252,-0.0877942,-0.126243,-1.96715,0.99749,0.651811,3605.28
0.88,-0.03,-1,0.908985,0.0119935,-0.0163778,-0.0279749,-0.00875892,0.00458006,-0.0869542,-0.12598,-1.96724,0.929101,0.445928,3599.42
0.88,-0.03,-1,0.909062,0.0120144,-0.0163273,0.00771723,0.00209008,0.00503912,-0.0871859,-0.126043,-1.96735,1.04105,0.809294,3599.18
0.88,-0.03,-1,0.909063,0.0120133,-0.0163305,0.000113138,-0.000105695,-0.000319504,-0.0871893,-0.12604,-1.96734,1.00583,0.692769,3603.33
0.88,-0.03,-1,0.908962,0.0119669,-0.0163173,-0.0100574,-0.00464453,0.00131989,-0.0868873,-0.125901,-1.96737,0.966596,0.606592,3599.75
0.88,-0.03,-1,0.908945,0.0119357,-0.0163773,-0.00172685,-0.00311251,-0.00598777,-0.0868354,-0.125807,-1.96725,0.984273,0.695197,3606.29
0.88,-0.03,-1,0.909072,0.0119685,-0.0163498,0.0126655,0.00328157,0.0027397,-0.0872158,-0.125906,-1.9673,1.0456,0.823341,3595.78
0.88,-0.03,-1,0.90902,0.0120329,-0.0163635,-0.00513886,0.00642451,-0.00136789,-0.0870615,-0.126099,-1.96727,1.06701,0.637939,3600.11
0.88,-0.03,-1,0.909035,0.0119837,-0.0163327,0.00144698,-0.00490821,0.00308116,-0.0871049,-0.125951,-1.96733,0.958617,0.72335,3594.03
0.88,-0.03,-1,0.909082,0.011982,-0.0163754,0.00468631,-0.000175011,-0.00426576,-0.0872456,-0.125946,-1.96725,1.01521,0.744834,3601.05
0.88,-0.03,-1,0.908767,0.0119372,-0.0163429,-0.0314405,-0.00446822,0.00324789,-0.0863015,-0.125812,-1.96731,0.971041,0.39967,3591.26
0.88,-0.03,-1,0.908557,0.011881,-0.0162651,-0.0210259,-0.00561737,0.00777435,-0.0856701,-0.125643,-1.96747,0.965849,0.538183,3587.06
0.88,-0.03,-1,0.908566,0.0118731,-0.0162904,0.000970608,-0.000791689,-0.00253389,-0.0856993,-0.125619,-1.96742,1.0095,0.727824,3597.03
0.88,-0.03,-1,0.908766,0.0119331,-0.0163064,0.0199183,0.00599596,-0.00159492,-0.0862974,-0.125799,-1.96739,1.06906,0.881316,3593.66
0.88,-0.03,-1,0.908595,0.0119361,-0.0162805,-0.0170779,0.000299686,0.00258692,-0.0857846,-0.125808,-1.96744,1.00909,0.510478,3588.39
0.88,-0.03,-1,0.908476,0.0118975,-0.0163204,-0.0119033,-0.00385536,-0.00398329,-0.0854271,-0.125693,-1.96736,0.975345,0.602037,3594.54
0.88,-0.03,-1,0.908358,0.0119048,-0.0163116,-0.0117485,0.000726095,0.000880544,-0.0850743,-0.125714,-1.96738,1.02548,0.595295,3587.8
0.88,-0.03,-1,0.908229,0.0119112,-0.0163186,-0.012868,0.000641614,-0.000702463,-0.0846879,-0.125734,-1.96736,1.01881,0.5815,3589.15
0.88,-0.03,-1,0.908138,0.0118653,-0.0162761,-0.00915825,-0.00458331,0.00424436,-0.0844129,-0.125596,-1.96745,0.971098,0.6164,3583.01
0.88,-0.03,-1,0.907967,0.0118661,-0.0162672,-0.017066,7.34097e-05,0.000893942,-0.0839004,-0.125598,-1.96747,1.02047,0.53357,3586.07
0.88,-0.03,-1,0.907899,0.0118898,-0.0163867,-0.00681807,0.00237516,-0.0119432,-0.0836957,-0.12567,-1.96723,1.03354,0.635515,3597.24
0.88,-0.03,-1,0.907719,0.0118188,-0.0164079,-0.0179116,-0.00710176,-0.0021193,-0.0831578,-0.125456,-1.96718,0.944477,0.51725,3584.49
0.88,-0.03,-1,0.907432,0.0117162,-0.0163446,-0.0286895,-0.010245,0.00632626,-0.0822963,-0.125149,-1.96731,0.927017,0.42522,3576.78
0.88,-0.03,-1,0.907277,0.0116783,-0.0163234,-0.0155119,-0.00378539,0.0021219,-0.0818304,-0.125035,-1.96735,0.98937,0.55759,3581.36
0.88,-0.03,-1,0.907193,0.0115626,-0.0162352,-0.0083246,-0.0115646,0.00880395,-0.0815805,-0.124688,-1.96753,0.908149,0.607244,3573.01
0.88,-0.03,-1,0.90705,0.0115394,-0.0163205,-0.014679,-0.00236654,-0.00873089,-0.0811504,-0.124618,-1.96736,0.999084,0.532544,3590.39
0.88,-0.03,-1,0.906768,0.0114054,-0.0162666,-0.0282131,-0.0133954,0.0053817,-0.0803032,-0.124216,-1.96747,0.885885,0.410468,3572.51
0.88,-0.03,-1,0.906771,0.0113857,-0.0163218,0.000351324,-0.00196662,-0.00551196,-0.0803137,-0.124157,-1.96736,1.00316,0.692399,3584.78
0.88,-0.03,-1,0.906574,0.0112718,-0.0162264,-0.0197039,-0.0113739,0.00952744,-0.079722,-0.123815,-1.96755,0.902818,0.466951,3567.04
0.88,-0.03,-1,0.906627,0.0112493,-0.0162863,0.00530559,-0.00224769,-0.00598573,-0.0798814,-0.123748,-1.96743,0.995321,0.724595,3583.92
0.88,-0.03,-1,0.906448,0.0111235,-0.0161902,-0.0178997,-0.0125742,0.00960522,-0.0793439,-0.12337,-1.96762,0.889296,0.474959,3564.84
0.88,-0.03,-1,0.906336,0.0110893,-0.0162125,-0.0112067,-0.00341118,-0.0022289,-0.0790073,-0.123268,-1.96757,0.984092,0.56271,3578.07
0.88,-0.03,-1,0.906378,0.0110277,-0.0162329,0.00422185,-0.00615385,-0.00203668,-0.0791341,-0.123083,-1.96753,0.946339,0.699759,3575.04
0.88,-0.03,-1,0.906209,0.0109292,-0.0162038,-0.0168993,-0.00983959,0.00290475,-0.0786266,-0.122788,-1.96759,0.914709,0.479719,3569.08
0.88,-0.03,-1,0.906183,0.0108663,-0.0161236,-0.00261409,-0.00628383,0.00801142,-0.0785481,-0.122599,-1.96775,0.952777,0.640761,3563.97
0.88,-0.03,-1,0.906113,0.0108094,-0.0162058,-0.00694908,-0.00569023,-0.00821202,-0.0783395,-0.122428,-1.96759,0.948391,0.577725,3579.62
0.88,-0.03,-1,0.905992,0.0107314,-0.0161974,-0.0120998,-0.0077911,0.000837559,-0.0779761,-0.122194,-1.96761,0.929582,0.534326,3567.14
0.88,-0.03,-1,0.905961,0.0106512,-0.0161963,-0.00313215,-0.00800658,0.000110533,-0.0778821,-0.121954,-1.96761,0.928216,0.623959,3568.41
0.88,-0.03,-1,0.905957,0.0106217,-0.0162429,-0.000363234,-0.00294997,-0.00465244,-0.0778711,-0.121865,-1.96751,0.974278,0.637718,3572.05
0.88,-0.03,-1,0.905679,0.010529,-0.016175,-0.0277546,-0.00926171,0.00678402,-0.0770377,-0.121587,-1.96765,0.910049,0.373106,3558.88
0.88,-0.03,-1,0.905771,0.0105564,-0.0161287,0.00912252,0.00273709,0.00462918,-0.0773116,-0.121669,-1.96774,1.03074,0.755696,3562.15
0.88,-0.03,-1,0.905709,0.0104763,-0.016127,-0.00612733,-0.00800091,0.000165242,-0.0771276,-0.121429,-1.96775,0.912178,0.563682,3564.87
0.88,-0.03,-1,0.905247,0.0103317,-0.0160169,-0.0461783,-0.0144508,0.0109954,-0.0757409,-0.120995,-1.96797,0.865257,0.198039,3552.28
0.88,-0.03,-1,0.905306,0.010314,-0.0160924,0.00591892,-0.00176825,-0.00754212,-0.0759187,-0.120942,-1.96782,0.987279,0.73653,3571.55
