x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.179983,0.0144374,-0.0072145,16.7547,1.34399,-0.671604,-0.149913,-0.0499193,2.53607,3.50406,32.0827,6000
0.17999,0.0144293,-0.00723086,0.000773621,-0.000826073,-0.00167518,-0.149951,-0.0498789,2.53615,-0.568737,-7.8972,6000
0.179958,0.0144074,-0.00723361,-0.00326385,-0.00224495,-0.000281763,-0.149791,-0.0497693,2.53617,0.0935043,0.288536,6000
0.179968,0.0144061,-0.00720721,0.000967407,-0.000140285,0.00270357,-0.149838,-0.0497625,2.53604,0.0994481,0.301209,6000
0.179971,0.0144177,-0.00720025,0.000331532,0.00107991,0.000648108,-0.149856,-0.0498205,2.536,0.1015,0.297552,6000
0.179977,0.0144123,-0.00718954,0.000621033,-0.00054493,0.00109625,-0.149887,-0.0497939,2.53595,0.0968752,0.298644,6000
0.179987,0.0143809,-0.00718329,0.00101013,-0.00322285,0.000640202,-0.149936,-0.0496365,2.53592,0.0906742,0.299553,6000
0.180017,0.0143631,-0.00721641,0.00308228,-0.0018198,-0.00339155,-0.150086,-0.0495476,2.53608,0.0952438,0.304685,6000
0.180004,0.0143047,-0.00714413,-0.00131378,-0.0059783,0.00740128,-0.150022,-0.0492557,2.53572,0.0837486,0.293009,6000
0.180039,0.0141645,-0.00707328,0.00321544,-0.0130508,0.00659561,-0.150195,-0.0485548,2.53537,0.0670288,0.306459,6000
0.180118,0.0139099,-0.00694325,0.00810699,-0.0260766,0.0133153,-0.150591,-0.0472815,2.53472,0.0351866,0.317702,6000
0.180211,0.0135705,-0.00674954,0.00950775,-0.0347476,0.0198356,-0.151055,-0.0455848,2.53375,0.0165117,0.319947,6000
0.180273,0.0130831,-0.00640755,0.00635071,-0.0499123,0.0350194,-0.151365,-0.0431477,2.53204,-0.0220058,0.312526,6000
0.180357,0.0125572,-0.0059661,0.00777643,-0.0489545,0.0410953,-0.151783,-0.0405183,2.52983,-0.0175362,0.318524,6000
0.180419,0.0119571,-0.0054147,0.00641022,-0.06145,0.056463,-0.152096,-0.0375178,2.52707,-0.0552767,0.315669,6000
0.180483,0.011325,-0.00473682,0.00651245,-0.0647336,0.0694157,-0.152414,-0.034357,2.52368,-0.0638131,0.317638,6000
0.180539,0.0107431,-0.00381344,0.00574341,-0.0595872,0.0945542,-0.152694,-0.0314475,2.51907,-0.0552747,0.317122,6000
0.180592,0.0101104,-0.00265996,0.00492165,-0.0588907,0.107378,-0.152959,-0.0282844,2.5133,-0.0624772,0.316372,6000
0.180741,0.0094691,-0.0012695,0.0152374,-0.0656727,0.142383,-0.153703,-0.0250777,2.50635,-0.0866614,0.345658,5975.01
0.180886,0.00882727,0.000423754,0.0148682,-0.0657243,0.17339,-0.154429,-0.0218685,2.49788,-0.0902166,0.342228,5955.69
0.18109,0.00821532,0.00227039,0.0209351,-0.0626631,0.189096,-0.155451,-0.0188088,2.48865,-0.088756,0.360473,5945.69
